trade_date,symbol,company_name,sector,direction,percent_change,reason,reason_type,confidence,evidence_urls,reason_provider,hit,pnl_pct
2026-04-08,MOTHERSON,Samvardhana Motherson International Limited,Auto Components & Equipments,up,10.0,"Samvardhana Motherson International Limited surged 10.0% after aftermarket business in 3 years - The Economic Times <a href=""https. (Source: Economic Times Markets)",General News,55,https://news.google.com/rss/articles/CBMixgFBVV95cUxQdGdUTXF1dGExNzNZWDFCZzZvWTBsbWZRMnJIaEltTkFzalVhNGJvcTJPLTdSaElGWGdqdkJhSUR1ZGJLckVtZVJRSS10QVZwRHBFTFVZZVZ1YWRuRHRnVjN0VU5mR3M3Ti1PZkNEZkM4ZkhmaW9iOFRxdnJlSjVOSW13OFFjV3lhYkRvVE83bVR4VmxBdmF6SFo1Tm93eFRPd21EQl9KYXVpNmloMDlFdkJvSThxcmNqTkhjRTRVRkxyaHFETUE?oc=5,scraper,,
2026-04-08,INDIGO,InterGlobe Aviation Limited,Airline,up,9.94,InterGlobe Aviation Limited surged 9.9% after catering vehicle hits engine - Moneycontrol. (Source: Moneycontrol),General News,71,https://news.google.com/rss/articles/CBMizwFBVV95cUxPQXhMUGhWQ2RxQnpqQk9LdkZqMzU1S3drZzVXaUFwSl9oa1BPSUZNZEVqOHk5c21USGF1T1F5YlEzSmdvVmxzSFJBeVFhSWRJQm9FVmMwSl9VWFJvSk1DRVh0NXlLaDRyRjg0YUc4Y0UtcTh5cTJidWIzVlhpX1pRU1R4WFpVXzczMGI0Wm04X3N6bGFwbVZlM1BXcTRieWVmbHhES2NmenpScnBwak41Qk41aU1rdmNsOUVEeTVSdlFpZnRUYjBfak52YUNvUnPSAdQBQVVfeXFMUGhjSFltZ1FSUDd6U2pNb19LLUhkSHZtbGtqTTE1ZG5yUG1YdXNpaFlmc1VEaHJoVDJSNnEzQWJ4c2pYVS1NTEpDOE9lbEF1NHN1X0RKdjhwTFBxcHVPRE9wQXgxSzNQN1d1WjlXNmlBcWFjM0dJVG1sbm5rSHZ6TFplbVI2U3d2VHJic01xeEtTOVp3ZGNaOHk3WlpBQW5QZ0FHYVBZcHBldHZJZ3VoeG9GMkVXTnlnS0Nwd0FuTXBKRWc3V1BTa3VwSnFQOXoxYkdkUWI?oc=5 | https://news.google.com/rss/articles/CBMi1AFBVV95cUxQaGNIWW1nUVJQN3pTak1vX0stSGRIdm1sa2pNMTVkbnJQbVh1c2loWWZzVURocmhUMlI2cTNBYnhzalhVLU1MSkM4T2VsQXU0c3VfREp2OHBMUHFwdU9ET3BBeDFLM1A3V3VaOVc2aUFxYWMzR0lUbWxubmtIdnpMWmVtUjZTd3ZUcmJzTXF4S1M5WndkY1o4eTdaWkFBblBnQUdhUFlwcGV0dklndWh4b0YyRVdOeWdLQ3B3QW5NcEpFZzdXUFNrdXBKcVA5ejFiR2RRYtIB1AFBVV95cUxQaGNIWW1nUVJQN3pTak1vX0stSGRIdm1sa2pNMTVkbnJQbVh1c2loWWZzVURocmhUMlI2cTNBYnhzalhVLU1MSkM4T2VsQXU0c3VfREp2OHBMUHFwdU9ET3BBeDFLM1A3V3VaOVc2aUFxYWMzR0lUbWxubmtIdnpMWmVtUjZTd3ZUcmJzTXF4S1M5WndkY1o4eTdaWkFBblBnQUdhUFlwcGV0dklndWh4b0YyRVdOeWdLQ3B3QW5NcEpFZzdXUFNrdXBKcVA5ejFiR2RRYg?oc=5,scraper,,
2026-04-08,NUVAMA,Nuvama Wealth Management Limited,Stockbroking & Allied,up,9.2,Nuvama Wealth Management Limited surged 9.2% after edible oils. (Source: Economic Times Markets),General News,71,https://news.google.com/rss/articles/CBMie0FVX3lxTE1HVGpHTzMwbVhrclJQSllYT016MFJ3alBtRTdoaUYxN2RjcVgyUDBlbWloVXkxbnVSWi10Q1l2bThpb05sRmFKSThkX1ZHVzlWSFpjOTJrV3ltSkcyZXNON0oySHpCblU3cHZOcGtxSC1KMlo1ZmpBRmdfaw?oc=5 | https://news.google.com/rss/articles/CBMizgFBVV95cUxQV1FzZmJQN2FyUXZteEFUZHRtdVFPa0RPdEx6ZWtGQkp2NUNkTHhTZ3hCT0g4UFRJZVRjN2tZVFJTUERpMm9CSVRHOFN3Ni1qT0ZFQ01OR1QwZ3V2bUd2U1BHSXJRT0JnVkMtaHk3UktjNDdhSFhvUDJNODdackowVEdNVDFzMnFCVU1PT3N4OV9aaGMweHlYNVZmRng1empMNWp3TUJiTlVvQ3VxNlg4RHNMQWJ1WXpyNDZRWkVDT2RaNXFHS3A4cGlxbVlDZ9IB0wFBVV95cUxPSWMzN0NZdFZoLXhWRkt2bEhuUm9PM2hlTEFfQzJiNHJiR0k3NFFtTXUzcHlXOW9QNTRHRXNTc0p3RlAyRWs4ZzlCZDJPZmgtS3ZrSmpPZFBaX0lrbUtWVW5vZHN2MEhKUEVoMElyd0xncmdnSTFxbjEzZTlsRjZrMXQxUm9vTUpPdkQ1S2RhRWNWMmNremE3RUVQaDNpQm80Ym5pVTZ0bmNseldiQV9SRlFvN2ZBUW1Wd01ld0VLYnNiX1JLUlJJTWVsNHY3VFMtSmNN?oc=5,scraper,,
2026-04-08,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Non Banking Financial Company (NBFC),up,9.1,Cholamandalam Investment and Finance Company Limited surged 9.1% after Market View. (Source: Moneycontrol),General News,55,https://news.google.com/rss/articles/CBMifkFVX3lxTE1FTGtGZWhUeVVITGtVUG5GTjNmbEl2Qm5qQ0ZiSU9GSC11Rmpjb2NJLTlUVmNpai1GcjdUbWZSMWEzcDJqNkFsVFAtcFByeDlUeDNPUEszS2NMa1lxY3ZrQ1dfQV81cEhmY25fMjByd253WEJMclVvZFJsNkQ2dw?oc=5 | https://news.google.com/rss/articles/CBMi5gFBVV95cUxPNXR4Q01ReHNHLXhsQmlRTW5wZ2pTNVA3SURILS00cUowZEU4MzBmb01qZGxlTUdwMWVHRGdOTFIzdzBaeTdpRU1LRmN2T2NNVUdmUVpsUDVxV0VrU3JkRkp5ZkQyUFhwdmFLdGJSRWJHOXFlV1dJRFJIcEY1QnQ2aElhaEZiQUZSTnhiNEQ1RDVSbEVFeWFSX2ZIdHpkMENoaGFmcFRYLXI5RTR4bmNZa0VmMEpDb3FjMmRPRzRCNVVLbWxWUzQ3aFQzalBuWm9PMS1YbHdOZ1Y4RGMtWm1mS2tKN3BlUdIB6wFBVV95cUxOa0NyTmczaFk3U0JfUFpuT2I2bGZVMUY3OVZERGI5bk5xcVR5S2NDWGZ1ODlZVXZielg0OTJBbnRPNkM3d3M4cTI1ZF9HbWZmUW1LWnZ2QllVTDlULWl5N1Zpb0JmblFuZnZQQ0NlZU9ha2VmRzUtUkU0N1ZzcF9ELVZHaDRldnAtckxVYXNyck5mNFV0WjNGSTZ2Y2I0WjN5emJiV2UzcHE5TGx1RDVFSGFWV2I3V1hWRGtMYk1OV1diVnBOb3lDZm1DWENvMWdCRkJlUXMwOGJ5Nkx1VUg1N3ROUEJkSFVHNmNF?oc=5,scraper,,
2026-04-08,FIVESTAR,Five-Star Business Finance Limited,Non Banking Financial Company (NBFC),up,8.83,Five-Star Business Finance Limited surged 8.8% after Market View. (Source: Moneycontrol),General News,71,https://news.google.com/rss/articles/CBMihAFBVV95cUxQLTAzcWMwMklUTUREOUdnNlFjQldfeGM2VTl1dnVPRVZRTm5iTUw0TUFwaHliWWtkOTVwZkRFX1R0ckZ0S1dQem1wUzFFTEZ1UElQNjRPS3l2MHdDb0tPcEY3UllSVzBvMHNQMFFGOEtQSlZTVTZhcW5WM3FkTTF1S3dMMl8?oc=5 | https://news.google.com/rss/articles/CBMilwFBVV95cUxQeEtRdVJlNGhNc2FrbjNYSXFQeUxHMU54M2ZWTk1yRGVFOTlHTldRNGVsUGI5OFVMckgyVTUwUDBKT09XQnVSZEtEcE1ac0FWZU82UUk4bm1aMDYxWklmdFNQMG9TOWtldGNPVTZSTEtyREd0S3NheWY2MnJVUGhVOEROVUoxTUxyNmlnNElmcldTdVZ4M2J3?oc=5,scraper,,
2026-04-08,PRESTIGE,Prestige Estates Projects Limited,Residential Commercial Projects,up,8.82,Prestige Estates Projects Limited surged 8.8% after April 7 with 1 crore prize how to check. (Source: Moneycontrol),Order/Contract,71,https://news.google.com/rss/articles/CBMi_wFBVV95cUxNZGtQZTFVWTBCbVVWaWM2MFVlQU1FZGJadGdXMkhFOWxkZ3JFRHVLc3R5QS02eXpMaFZySm1RYkJvR0JWX1JYOGt3eW02MFl0SUgwSHNmQVJPR3d4a3lIdHo3a1AySGJaeUVOclE2ZWloWkR3eVU3aDcya2xrTUpCVlJUeXI3ZDdpQlpScWFGTGd2WDlINTVtMjRTLVRueW5rMndPY1BPR2pRRDBrOWZCaU5lb3dldjJwOWxFT0VYeFMxeXR3NTc2ODIydlJaMGJoUTVDbVhiUkFYUVdXaDA4VmVnaE05MlhPRXJsbUtPWGkwanRyLTJHMVhkVEptLVHSAf8BQVVfeXFMTWRrUGUxVVkwQm1VVmljNjBVZUFNRWRiWnRnVzJIRTlsZGdyRUR1S3N0eUEtNnl6TGhWckptUWJCb0dCVl9SWDhrd3ltNjBZdElIMEhzZkFST0d3eGt5SHR6N2tQMkhiWnlFTnJRNmVpaFpEd3lVN2g3Mmtsa01KQlZSVHlyN2Q3aUJaUnFhRkxndlg5SDU1bTI0Uy1UbnluazJ3T2NQT0dqUUQwazlmQmlOZW93ZXYycDlsRU9FWHhTMXl0dzU3NjgyMnZSWjBiaFE1Q21YYlJBWFFXV2gwOFZlZ2hNOTJYT0VybG1LT1hpMGp0ci0yRzFYZFRKbS1R?oc=5,scraper,,
2026-04-08,ABREL,Aditya Birla Real Estate Limited,Residential Commercial Projects,up,8.76,Aditya Birla Real Estate Limited rose 8.8% with no clearly extractable trigger phrase from current news.,General News,35,,scraper,,
2026-04-08,FORCEMOT,FORCE MOTORS LTD,Passenger Cars & Utility Vehicles,up,8.73,FORCE MOTORS LTD surged 8.7% after volatility - Moneycontrol. (Source: Moneycontrol),General News,55,https://news.google.com/rss/articles/CBMi5gFBVV95cUxPNXR4Q01ReHNHLXhsQmlRTW5wZ2pTNVA3SURILS00cUowZEU4MzBmb01qZGxlTUdwMWVHRGdOTFIzdzBaeTdpRU1LRmN2T2NNVUdmUVpsUDVxV0VrU3JkRkp5ZkQyUFhwdmFLdGJSRWJHOXFlV1dJRFJIcEY1QnQ2aElhaEZiQUZSTnhiNEQ1RDVSbEVFeWFSX2ZIdHpkMENoaGFmcFRYLXI5RTR4bmNZa0VmMEpDb3FjMmRPRzRCNVVLbWxWUzQ3aFQzalBuWm9PMS1YbHdOZ1Y4RGMtWm1mS2tKN3BlUdIB6wFBVV95cUxOa0NyTmczaFk3U0JfUFpuT2I2bGZVMUY3OVZERGI5bk5xcVR5S2NDWGZ1ODlZVXZielg0OTJBbnRPNkM3d3M4cTI1ZF9HbWZmUW1LWnZ2QllVTDlULWl5N1Zpb0JmblFuZnZQQ0NlZU9ha2VmRzUtUkU0N1ZzcF9ELVZHaDRldnAtckxVYXNyck5mNFV0WjNGSTZ2Y2I0WjN5emJiV2UzcHE5TGx1RDVFSGFWV2I3V1hWRGtMYk1OV1diVnBOb3lDZm1DWENvMWdCRkJlUXMwOGJ5Nkx1VUg1N3ROUEJkSFVHNmNF?oc=5,scraper,,
2026-04-08,LTF,L&T Finance Limited,Investment Company,up,8.71,L&T Finance Limited surged 8.7% after Market View. (Source: Moneycontrol),General News,55,https://news.google.com/rss/articles/CBMie0FVX3lxTE9UZUphbGp2c0xjOWRabnQ1Smg0NmREMHNyOTRCYlFMN0ppdFlHbWt4Z1lLMkhOSjFoUmdTTVFYeldOTlM1NFlGdHRQRFBsX0RnSlROMjZUTm1UN0NSMGtXMnFUamNlTG1CXzhMUzhDeElVbXdPT1VpOHFQSQ?oc=5 | https://news.google.com/rss/articles/CBMivAFBVV95cUxPQ3JERjdLUzVMTWVKRV9mc0RaRGxWck5RRE9JejhxeFJuVnZPTFZtZlZDR3lpWVdidGd1bF85ck5lbUVKQnkwbG1kN2lmLXlVaWw3alpYMEx5Y2cyOThCSGVmeHhYcThIM0lIXzFRLUlLNC16TnVHVmJ1MjVVYTdYelIxYVBWajFUZEF6RG9UZmc3UVdVTndpQ0V0d0ozcFFFT0Q0RXdTOTY4SEZ0d2Z2SDNzdldpYW1zMm1UTdIBwgFBVV95cUxObjhCV05lZGVXN2hsOTJLRlR3bUxxcVJsYUR4Yk1vYnFEY3NkbGVuMGEwRzg2SnVQVllPdk04OVBraUI2T0k5aHV1Q0RSLXRBMVBFRXkxbEg4QkpZRHNYM1JFajZXY0N0cF82X2tTakZ5dDk3UVhEcU1LRXk1YjluekFkaXc3ejB6dnE5M0F0Z0hGajByT1d2OWR3dHlPTnl1OEgyTmRDSjc5QmtPZU1RM0YzYjFfYk5nejNuWi14cWItQQ?oc=5,scraper,,
2026-04-08,BLS,BLS International Services Limited,Tour Travel Related Services,up,8.68,"BLS International Services Limited surged 8.7% after disappointing Q3 figures - The Economic Times <a href=""https. (Source: Economic Times Markets)",Earnings,55,https://news.google.com/rss/articles/CBMi7gFBVV95cUxQcHhfcjFHZ2hjaDJkWWtqczBTb0g5YXU3MktwWVVyUGV4TGIzZWVXbEJ3d09fR3hKa0R3N1RoWmpON1N5T2NuMmJjNTZFS0taSzRFMWpCbUVoTlJ3UXBSVzY4LS1mTms5blF3Z2NSX2tHSHBuOUxKN1UzMDloT2o2eTZGaUFnbksxMEFhQ3BSdmNWcnNJcXJveUF2QS1faUtBRGxOU3p2cHR5NnNKWnhwYmYwbXVRdTRWRnYxUVY1M0p4MUJzc1RKUjU1dElhOWZ6VVRsLUpaZi1OdUo5c1AtTXNDcTZXU05jSENSelBn?oc=5 | https://economictimes.indiatimes.com/markets/stocks/defence-stock-solar-industries-shows-bullish-breakout-despite-weak-markets-ruchit-jain-of-motilal-oswal/videoshow/129319108.cms,scraper,,
2026-04-08,ADANIENT,Adani Enterprises Limited,Trading - Minerals,up,8.52,Adani Enterprises Limited surged 8.5% after Market View. (Source: Moneycontrol),General News,55,https://news.google.com/rss/articles/CBMiekFVX3lxTFBKX09RN1NucHotdXJXTDE2VzNuVXdVMFZtX3FNUklWeWl2elQyV3pQRkE4UnFkODlmY0V4N1V0VGZMV3ExMWlUcjMxeThqNGd3cFJwbFJKbHFTM1lkczdWazFFMTdURHNGY0NCQUVvM3hJU2tfZ2Z0eW53?oc=5,scraper,,
2026-04-08,ABCAPITAL,Aditya Birla Capital Limited,Investment Company,up,8.39,Aditya Birla Capital Limited rose 8.4% with no clearly extractable trigger phrase from current news.,General News,35,,scraper,,
